run,seed,accuracy,case
1,42,0.9759,A
2,42,0.9759,A
3,42,0.9759,A
4,42,0.9759,A
5,42,0.9759,A
6,42,0.9759,A
7,42,0.9759,A
8,42,0.9759,A
9,42,0.9759,A
10,42,0.9759,A
11,42,0.9759,A
12,42,0.9759,A
13,42,0.9759,A
14,42,0.9759,A
15,42,0.9759,A
16,42,0.9759,A
17,42,0.9759,A
18,42,0.9759,A
19,42,0.9759,A
20,42,0.9759,A
21,42,0.9759,A
22,42,0.9759,A
23,42,0.9759,A
24,42,0.9759,A
25,42,0.9759,A
26,42,0.9759,A
27,42,0.9759,A
28,42,0.9759,A
29,42,0.9759,A
30,42,0.9759,A
